userId,fullname,username,followers,engagementRate,engagements,isPrivate,isVerified,picture,url,tags
7014643277493109762,ぷ く ぷ く (20),toga._.40_,378100,0.0479110552095497,15574,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXtX1hos4qZrwb5%2B%2B6Q6dITmYzLXv37wUMoq1Yw%2FdbCDHPENYwV2HSwgg3mj9rqqIyQ%3D%3D,https://www.tiktok.com/@toga._.40_,
6943033373406774274,Umachan🦄bị đói🇻🇳,umachan199x,378100,0.0411550632911392,6900,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXtjBug2ZA7%2Bsg0ViDo4A2zrq4tEkpd3jtbimCrsvWfdrLVjuBbrLjs7RAOQy0t9M%2FA%3D%3D,https://www.tiktok.com/@umachan199x,
6867877132841288705,Ghost_musiclyrics,ghost.musiclyrics,378000,0.0677938988095238,4291,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXlx%2F3C1TD9KrQ13n44zEhUpeKA34gU0jWa2IVZsjezWGlljWB1MNA8QqNuRfqlHndA%3D%3D,https://www.tiktok.com/@ghost.musiclyrics,
6808029398487483394,えりれろ,eri_o00,377900,0.0382058667139312,910,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXnWY6mHZFRW8OREmzo0Zf468QwrP%2Fv2zTEaEJrWYGIuwbS%2B3rHqajTIN6W2x942Lag%3D%3D,https://www.tiktok.com/@eri_o00,
6524902885275205633,成分オタクちゃん🌶️【美容・スキンケア】,seibun_otakuchan,377800,0.0127509466642082,176,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXqBYb4DLL0H4Ec4YffRAJXrqULHfaU5m5wJTnj86BQvNFADBKGi%2BVFY1Kr9ku37DQw%3D%3D,https://www.tiktok.com/@seibun_otakuchan,
135390983285792768,Yuka (fumi),yukakato02,377300,0.0801036720020542,6156,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXh9GqDT0THTnIslCD9YuuE%2FXts3G7kSOtnRUlp0dJfrrUPSID%2FuGkITeBjnUc8klAA%3D%3D,https://www.tiktok.com/@yukakato02,
6563543478952837122,カシコch,kasiko21_,377200,0.0179720014952655,4370,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXoUlvO76fjPYkIpy91vMWh%2BO%2Fp99j15W70XwGVt98xFe1XhRmGwF%2BKCnZnzWd90P%2FQ%3D%3D,https://www.tiktok.com/@kasiko21_,
75856368501,Tina/ティナ,cherry_tn,377100,0.056196459591364,2859,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXiiFncte1ylVwaHQpcbfsk80yZugdefXjZ6fLA4z9P9UIHKsLH%2F9VinfxArnryUW9Q%3D%3D,https://www.tiktok.com/@cherry_tn,
6532030349622657026,SHEpopo,foifoi590,377100,0.1090549878447189,10973,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXr%2B%2BxskNHvHgUGn53mDEy5uP2rd15L00Co6YxFkT%2BYsyqBAbL1J8xATC97ppWSiXyw%3D%3D,https://www.tiktok.com/@foifoi590,
6819219517001466882,あやの,m_ayano26,377000,0.0647484615384615,15574,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXpYOIOPGulXGo2djlbrW%2FgHyLbrVUzZcC%2FjV4PPZF2xtJwNbvPIjhuHNsBNJUw9y3w%3D%3D,https://www.tiktok.com/@m_ayano26,
7124608099139404801,てんちょーさん,tencho.sun,376800,0.0137549800796812,436,,False,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXh5m3YTf0npsLHCmuVG5gyt7OK%2Fv1PWgrYTqgULF8G2S4Y710knJjIKmWGm0YuvsoQ%3D%3D,https://www.tiktok.com/@tencho.sun,
71079548456,きむすば (木村昴),richpotatoboya,376500,0.0449748746572956,16977,,True,https://resource.astream.jp/v2?9gRRkBbg4nctjMDXek72QaD1Z6ujEs9fS8Aa10L%2B0D9PSnwGULyUDZKTdiD0Vp6pxpbk%2FPQaHD7NTqKqI9CLXgxLBk9twj27toRY1v9n8FLNZNfizSNylnJ%2BPW1VbbRNIe%2BxuHSUyqjahZWrchAMNA%3D%3D,https://www.tiktok.com/@richpotatoboya,
